method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,18.3,52.0,18.3,16.4,17.3
TRSR1CG,14,14,0,13,0.9285714285714286,44.23076923076923,79.07692307692308,44.23076923076923,34.84615384615385,0.0
