method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,21.1,60.6,21.1,19.4,20.1
TRSR1CG,14,14,0,13,0.9285714285714286,41.61538461538461,75.53846153846153,41.61538461538461,33.92307692307692,0.0
