method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,155.11111111111111,954.3333333333334,799.2222222222222,155.11111111111111,0.0
GradientDescentW,14,14,0,9,0.6428571428571429,139.44444444444446,1103.4444444444443,818.3333333333334,285.1111111111111,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,13.5,88.1,43.6,32.0,12.5
BFGS,14,13,1,13,1.0,43.92307692307692,215.07692307692307,171.15384615384616,43.92307692307692,0.0
BFGSW,14,13,1,13,1.0,40.15384615384615,256.46153846153845,175.30769230769232,81.15384615384616,0.0
DFP,14,13,1,8,0.6153846153846154,62.625,256.25,193.625,62.625,0.0
DFPW,14,13,1,10,0.7692307692307693,102.9,550.9,331.2,219.7,0.0
