c1_tr,c2_tr,term_tol_CG,max_iterations_CG,result_dir,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
0.03,0.7,0.1,50,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_50,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.1,100,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_100,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.1,200,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_200,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.1,400,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_400,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.1,800,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_800,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.1,1600,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.1_maxitercg_1600,28,24,4,23,0.9583333333333334,30.130434782608695,64.3913043478261,30.130434782608695,25.695652173913043,8.565217391304348
0.03,0.7,0.05,50,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.05_maxitercg_50,28,24,4,23,0.9583333333333334,30.434782608695652,64.43478260869566,30.434782608695652,25.956521739130434,8.043478260869565
0.03,0.7,0.05,100,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.05_maxitercg_100,28,24,4,23,0.9583333333333334,30.434782608695652,64.43478260869566,30.434782608695652,25.956521739130434,8.043478260869565
0.03,0.7,0.05,200,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.05_maxitercg_200,28,24,4,23,0.9583333333333334,30.434782608695652,64.43478260869566,30.434782608695652,25.956521739130434,8.043478260869565
0.03,0.7,0.05,400,/home/henry/511_project/parameter_sweeps_20260419_200504/tr/results_c1tr_0.03_c2tr_0.7_termtolcg_0.05_maxitercg_400,28,24,4,23,0.9583333333333334,30.434782608695652,64.43478260869566,30.434782608695652,25.956521739130434,8.043478260869565
