method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,156.0,958.4444444444445,802.4444444444445,156.0,0.0
GradientDescentW,14,14,0,8,0.5714285714285714,116.125,1426.5,1018.75,407.75,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,7.5,76.9,44.0,26.4,6.5
BFGS,14,13,1,13,1.0,43.92307692307692,215.0,171.07692307692307,43.92307692307692,0.0
BFGSW,14,13,1,12,0.9230769230769231,18.833333333333332,211.16666666666666,140.0,71.16666666666667,0.0
DFP,14,13,1,8,0.6153846153846154,62.625,256.125,193.5,62.625,0.0
DFPW,14,13,1,12,0.9230769230769231,36.833333333333336,851.0,650.1666666666666,200.83333333333334,0.0
