method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,156.22222222222223,959.5555555555555,803.3333333333334,156.22222222222223,0.0
GradientDescentW,14,14,0,10,0.7142857142857143,253.6,2788.9,2035.2,753.7,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,10.2,68.0,34.9,23.9,9.2
BFGS,14,13,1,13,1.0,43.92307692307692,215.0,171.07692307692307,43.92307692307692,0.0
BFGSW,14,13,1,13,1.0,35.92307692307692,256.84615384615387,174.69230769230768,82.15384615384616,0.0
DFP,14,13,1,8,0.6153846153846154,62.625,256.125,193.5,62.625,0.0
DFPW,14,13,1,9,0.6923076923076923,52.111111111111114,309.77777777777777,194.77777777777777,115.0,0.0
