method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,154.33333333333334,950.5555555555555,796.2222222222222,154.33333333333334,0.0
GradientDescentW,14,13,1,8,0.6153846153846154,116.125,1426.0,1018.75,407.25,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,7.5,76.9,44.0,26.4,6.5
BFGS,14,13,1,13,1.0,43.38461538461539,285.9230769230769,241.84615384615384,44.07692307692308,0.0
BFGSW,14,13,1,12,0.9230769230769231,18.833333333333332,282.5833333333333,210.91666666666666,71.66666666666667,0.0
DFP,14,13,1,8,0.6153846153846154,56.375,385.0,327.125,57.875,0.0
DFPW,14,13,1,12,0.9230769230769231,36.833333333333336,920.75,719.4166666666666,201.33333333333334,0.0
