method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,20.4,58.3,20.4,18.5,19.4
TRSR1CG,14,14,0,13,0.9285714285714286,41.76923076923077,75.76923076923077,41.76923076923077,34.0,0.0
