method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,18.0,51.4,18.0,16.4,17.0
TRSR1CG,14,14,0,13,0.9285714285714286,44.07692307692308,78.84615384615384,44.07692307692308,34.76923076923077,0.0
