method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,155.22222222222223,954.6666666666666,799.4444444444445,155.22222222222223,0.0
GradientDescentW,14,14,0,8,0.5714285714285714,71.0,734.625,510.5,224.125,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,7.6,66.4,37.3,22.5,6.6
BFGS,14,13,1,13,1.0,43.15384615384615,213.30769230769232,170.15384615384616,43.15384615384615,0.0
BFGSW,14,13,1,12,0.9230769230769231,23.916666666666668,214.16666666666666,132.0,82.16666666666667,0.0
DFP,14,13,1,8,0.6153846153846154,56.375,236.0,179.625,56.375,0.0
DFPW,14,13,1,12,0.9230769230769231,59.666666666666664,1064.8333333333333,761.9166666666666,302.9166666666667,0.0
