method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
GradientDescent,14,14,0,9,0.6428571428571429,155.22222222222223,954.6666666666666,799.4444444444445,155.22222222222223,0.0
GradientDescentW,14,14,0,10,0.7142857142857143,184.5,1575.3,1019.0,556.3,0.0
Newton,14,10,4,10,1.0,19.3,85.6,48.0,19.3,18.3
NewtonW,14,10,4,10,1.0,12.4,83.3,43.5,28.4,11.4
BFGS,14,13,1,13,1.0,43.15384615384615,213.30769230769232,170.15384615384616,43.15384615384615,0.0
BFGSW,14,13,1,13,1.0,38.92307692307692,253.92307692307693,173.6153846153846,80.3076923076923,0.0
DFP,14,13,1,8,0.6153846153846154,56.375,236.0,179.625,56.375,0.0
DFPW,14,13,1,9,0.6923076923076923,107.0,607.5555555555555,373.1111111111111,234.44444444444446,0.0
