method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,19.5,55.8,19.5,17.8,18.5
TRSR1CG,14,14,0,13,0.9285714285714286,38.84615384615385,71.07692307692308,38.84615384615385,32.23076923076923,0.0
