method,total_pairs,attempted_runs,skipped_runs,successful_runs,success_rate,avg_iterations,avg_total_evaluations,avg_f_evals,avg_g_evals,avg_H_evals
TRNewtonCG,14,10,4,10,1.0,24.9,71.0,24.9,22.2,23.9
TRSR1CG,14,14,0,13,0.9285714285714286,47.46153846153846,85.38461538461539,47.46153846153846,37.92307692307692,0.0
